Keyspace_Name,columnfamily_name,column_name,component_index,index_name,index_options, index_type,type,validator
system_auth,resource_role_permissons_index,resource,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,resource_role_permissons_index,role,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,role_members,member,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,role_members,role,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,role_permissions,permissions,1,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system_auth,role_permissions,resource,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,role_permissions,role,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,roles,can_login,0,,null,,regular,org.apache.cassandra.db.marshal.BooleanType
system_auth,roles,is_superuser,0,,null,,regular,org.apache.cassandra.db.marshal.BooleanType
system_auth,roles,member_of,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system_auth,roles,role,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_auth,roles,salted_hash,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,adj_close,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,close,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,datasource,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,date,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,gain,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,high,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,low,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,open,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,percent_gain,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,sector,0,sindex,{},COMPOSITES,regular,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,serial_number,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
stockmarket,datasource,volume,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,backup_id,1,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,deleted_at,4,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
OpsCenter,backup_reports,destination,3,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,event_time,0,,null,,clustering_key,org.apache.cassandra.db.marshal.ReversedType(org.apache.cassandra.db.marshal.TimestampType)
OpsCenter,backup_reports,full_status,4,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,keyspaces,4,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,status,4,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,type,2,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,backup_reports,week,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,bestpractice_results,column1,,,null,,clustering_key,org.apache.cassandra.db.marshal.ReversedType(org.apache.cassandra.db.marshal.IntegerType)
OpsCenter,bestpractice_results,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,bestpractice_results,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,events,action,,,null,,regular,org.apache.cassandra.db.marshal.LongType
OpsCenter,events,api_source_ip,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,column_family,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,event_source,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,keyspace,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,level,,,null,,regular,org.apache.cassandra.db.marshal.LongType
OpsCenter,events,message,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,source_node,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,success,,,null,,regular,org.apache.cassandra.db.marshal.BooleanType
OpsCenter,events,target_node,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events,time,,,null,,regular,org.apache.cassandra.db.marshal.LongType
OpsCenter,events,user,,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events_timeline,column1,,,null,,clustering_key,org.apache.cassandra.db.marshal.LongType
OpsCenter,events_timeline,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,events_timeline,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,pdps,column1,,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,pdps,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,pdps,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,rollups300,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,rollups300,timestamp,,,null,,clustering_key,org.apache.cassandra.db.marshal.IntegerType
OpsCenter,rollups300,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,rollups60,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,rollups60,timestamp,,,null,,clustering_key,org.apache.cassandra.db.marshal.IntegerType
OpsCenter,rollups60,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,rollups7200,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,rollups7200,timestamp,,,null,,clustering_key,org.apache.cassandra.db.marshal.IntegerType
OpsCenter,rollups7200,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,rollups86400,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
OpsCenter,rollups86400,timestamp,,,null,,clustering_key,org.apache.cassandra.db.marshal.IntegerType
OpsCenter,rollups86400,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
OpsCenter,settings,column1,,,null,,clustering_key,org.apache.cassandra.db.marshal.BytesType
OpsCenter,settings,key,,,null,,partition_key,org.apache.cassandra.db.marshal.BytesType
OpsCenter,settings,value,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
system_distributed,parent_repair_history,columnfamily_names,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system_distributed,parent_repair_history,exception_message,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,parent_repair_history,exception_stacktrace,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,parent_repair_history,finished_at,0,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system_distributed,parent_repair_history,keyspace_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,parent_repair_history,parent_id,,,null,,partition_key,org.apache.cassandra.db.marshal.TimeUUIDType
system_distributed,parent_repair_history,requested_ranges,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system_distributed,parent_repair_history,started_at,0,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system_distributed,parent_repair_history,successful_ranges,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system_distributed,repair_history,columnfamily_name,1,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,coordinator,1,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system_distributed,repair_history,exception_message,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,exception_stacktrace,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,finished_at,1,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system_distributed,repair_history,id,0,,null,,clustering_key,org.apache.cassandra.db.marshal.TimeUUIDType
system_distributed,repair_history,keyspace_name,0,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,parent_id,1,,null,,regular,org.apache.cassandra.db.marshal.TimeUUIDType
